issue,event,commit_id,event_creator,created_at,state,closed_at
187469,assigned,,joaomoreno,2023-07-10T13:00:58Z,closed,2023-07-10T13:15:07Z
187469,auto_squash_enabled,,joaomoreno,2023-07-10T13:01:13Z,closed,2023-07-10T13:15:07Z
187469,milestoned,,VSCodeTriageBot,2023-07-10T13:02:33Z,closed,2023-07-10T13:15:07Z
187469,referenced,060dfba0dd0c6b103abd26c2c0fc873539735d9e,joaomoreno,2023-07-10T13:15:07Z,closed,2023-07-10T13:15:07Z
187469,merged,060dfba0dd0c6b103abd26c2c0fc873539735d9e,joaomoreno,2023-07-10T13:15:07Z,closed,2023-07-10T13:15:07Z
187469,closed,,joaomoreno,2023-07-10T13:15:07Z,closed,2023-07-10T13:15:07Z
187469,head_ref_deleted,,joaomoreno,2023-07-10T13:15:08Z,closed,2023-07-10T13:15:07Z
187461,labeled,,VSCodeTriageBot,2023-07-10T12:16:31Z,closed,2023-07-10T12:41:32Z
187461,assigned,,hediet,2023-07-10T12:16:40Z,closed,2023-07-10T12:41:32Z
187461,closed,,hediet,2023-07-10T12:41:32Z,closed,2023-07-10T12:41:32Z
187458,assigned,,hediet,2023-07-10T12:12:43Z,closed,2023-07-10T12:27:07Z
187458,auto_squash_enabled,,hediet,2023-07-10T12:12:43Z,closed,2023-07-10T12:27:07Z
187458,milestoned,,VSCodeTriageBot,2023-07-10T12:14:25Z,closed,2023-07-10T12:27:07Z
187458,referenced,68a99e2f46d36f624ff0b1f57509411022785319,hediet,2023-07-10T12:27:07Z,closed,2023-07-10T12:27:07Z
187458,merged,68a99e2f46d36f624ff0b1f57509411022785319,hediet,2023-07-10T12:27:07Z,closed,2023-07-10T12:27:07Z
187458,closed,,hediet,2023-07-10T12:27:07Z,closed,2023-07-10T12:27:07Z
187458,head_ref_deleted,,hediet,2023-07-10T12:27:09Z,closed,2023-07-10T12:27:07Z
187435,assigned,,lszomoru,2023-07-10T09:47:44Z,closed,2023-07-10T13:16:02Z
187435,review_requested,,lszomoru,2023-07-10T09:47:56Z,closed,2023-07-10T13:16:02Z
187435,labeled,,lszomoru,2023-07-10T09:48:08Z,closed,2023-07-10T13:16:02Z
