User1,User2,SharedIssues,Issues
"""VSCodeTriageBot""","""hediet""",36,"[""188205"", 188205, ""188271"", 188271, ""188271"", 188271, ""188219"", 188219, ""188291"", 188291, ""188279"", 188279, ""188274"", 188274, ""188202"", 188202, ""188279"", 188279, ""188292"", 188292, ""188196"", 188196, ""188198"", 188198, ""188202"", ""188202"", 188202, 188202, ""188205"", 188205, ""188291"", 188291, ""188269"", 188269, ""188196"", 188196, ""185681"", ""185681"", 185681, 185681, ""188165"", 188165, ""188269"", 188269, ""188181"", 188181, ""188198"", 188198, ""188196"", 188196, ""188279"", 188279, ""188219"", 188219, ""188269"", 188269, ""188165"", 188165, ""188269"", 188269, ""188271"", 188271, ""188271"", 188271, ""188292"", 188292, ""188269"", 188269, ""188181"", 188181, ""188219"", 188219, ""188292"", 188292, ""188279"", 188279, ""188205"", 188205, ""185681"", ""185681"", 185681, 185681, ""188271"", 188271, ""188198"", 188198, ""188292"", 188292, ""188219"", 188219, ""188198"", 188198, ""188137"", ""188137"", 188137, 188137, ""188165"", 188165, ""188189"", 188189, ""188189"", 188189, ""188202"", ""188202"", 188202, 188202, ""188219"", 188219, ""188196"", 188196, ""188165"", 188165, ""188196"", 188196, ""188205"", 188205, ""188292"", 188292, ""188269"", 188269, ""188189"", 188189, ""188181"", 188181, ""188165"", 188165, ""188181"", 188181, ""188189"", 188189, ""188181"", 188181, ""188205"", 188205, ""188219"", 188219, ""188260"", 188260, ""188181"", 188181, ""188181"", 188181, ""188181"", 188181, ""188137"", ""188137"", 188137, 188137, ""188279"", 188279, ""188279"", 188279, ""181489"", ""181489"", 181489, 181489, ""188165"", 188165, ""188274"", 188274, ""188181"", 188181, ""188198"", 188198, ""181489"", ""181489"", 181489, 181489, ""188271"", 188271, ""188189"", 188189, ""188260"", 188260, ""188181"", 188181, ""188198"", 188198, ""188196"", 188196, ""188205"", 188205, ""188189"", 188189, ""188165"", 188165, ""188202"", ""188202"", 188202, 188202, ""188292"", 188292]"
"""VSCodeTriageBot""","""sandy081""",28,"[""188148"", 188148, ""188288"", 188288, ""181489"", 181489, ""188290"", 188290, ""188245"", 188245, ""188251"", 188251, ""188251"", 188251, ""188288"", 188288, ""188140"", ""188140"", 188140, 188140, ""188132"", 188132, ""188138"", ""188138"", 188138, 188138, ""188158"", 188158, ""188158"", 188158, ""188137"", ""188137"", 188137, 188137, ""188132"", 188132, ""188248"", 188248, ""188132"", 188132, ""188245"", 188245, ""188138"", 188138, ""188148"", 188148, ""188248"", 188248, ""188275"", 188275, ""188248"", 188248, ""188147"", 188147, ""188290"", 188290, ""188132"", 188132, ""188288"", 188288, ""188132"", 188132, ""188245"", 188245, ""188137"", 188137, ""188147"", 188147, ""188275"", 188275, ""188248"", 188248, ""188275"", 188275, ""188148"", 188148, ""188251"", 188251, ""188137"", ""188137"", 188137, 188137, ""188140"", 188140, ""188148"", 188148, ""188288"", 188288, ""188138"", ""188138"", 188138, 188138, ""188147"", 188147, ""188140"", ""188140"", 188140, 188140, ""188290"", 188290, ""188158"", 188158, ""188138"", ""188138"", 188138, 188138, ""188251"", 188251, ""188245"", 188245, ""188290"", 188290, ""188290"", 188290, ""188245"", 188245, ""188147"", 188147, ""188137"", ""188137"", 188137, 188137, ""188147"", 188147, ""188138"", ""188138"", 188138, 188138, ""188138"", ""188138"", 188138, 188138, ""188140"", ""188140"", 188140, 188140, ""188251"", 188251, ""188288"", 188288, ""188138"", ""188138"", 188138, 188138, ""188288"", 188288, ""181489"", 181489, ""188248"", 188248, ""188290"", 188290, ""188148"", 188148, ""188245"", 188245, ""188158"", 188158, ""188248"", 188248, ""188158"", 188158, ""188158"", 188158, ""188147"", 188147, ""188148"", 188148, ""188140"", ""188140"", 188140, 188140, ""188275"", 188275, ""188132"", 188132, ""188251"", 188251]"
"""mjbvz""","""VSCodeTriageBot""",20,"[""188159"", ""188159"", ""188159"", ""188159"", ""188159"", 188159, 188159, 188159, 188159, 188159, ""188163"", 188163, ""181489"", ""181489"", ""181489"", ""181489"", 181489, 181489, 181489, 181489, ""188286"", 188286, ""188230"", ""188230"", 188230, 188230, ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", 185681, 185681, 185681, 185681, 185681, 185681, 185681, ""188293"", ""188293"", 188293, 188293, ""188159"", ""188159"", ""188159"", ""188159"", 188159, 188159, 188159, 188159, ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", ""185681"", 185681, 185681, 185681, 185681, 185681, 185681, ""181489"", ""181489"", ""181489"", ""181489"", ""181489"", 181489, 181489, 181489, 181489, 181489, ""188230"", ""188230"", 188230, 188230, ""188230"", ""188230"", 188230, 188230, ""188163"", 188163, ""188222"", ""188222"", 188222, 188222, ""188289"", 188289, ""188206"", 188206]"
"""VSCodeTriageBot""","""jrieken""",14,"[""188161"", 188161, ""188238"", 188238, ""188242"", ""188242"", 188242, 188242, ""188161"", 188161, ""188156"", 188156, ""188161"", 188161, ""188156"", 188156, ""188161"", 188161, ""188230"", ""188230"", ""188230"", 188230, 188230, 188230, ""188156"", 188156, ""188161"", 188161, ""188156"", 188156, ""188156"", 188156, ""188207"", 188207, ""188262"", 188262, ""188207"", 188207, ""188238"", 188238, ""188156"", 188156, ""188262"", ""188262"", 188262, 188262, ""188230"", ""188230"", ""188230"", 188230, 188230, 188230, ""188161"", 188161]"
"""VSCodeTriageBot""","""roblourens""",12,"[""188191"", 188191, ""188191"", 188191, ""188191"", 188191, ""155883"", 155883, ""188191"", 188191, ""188240"", 188240, ""155883"", 155883, ""188191"", 188191, ""188191"", 188191, ""188136"", ""188136"", 188136, 188136, ""188191"", 188191, ""188255"", ""188255"", 188255, 188255, ""188150"", 188150, ""188150"", ""188150"", 188150, 188150, ""155883"", ""155883"", 155883, 155883]"
"""rebornix""","""VSCodeTriageBot""",10,"[""188190"", 188190, ""188254"", 188254, ""188185"", 188185, ""188190"", 188190, ""188155"", 188155, ""188113"", ""188113"", ""188113"", ""188113"", ""188113"", ""188113"", 188113, 188113, 188113, 188113, 188113, 188113]"
"""meganrogge""","""VSCodeTriageBot""",10,"[""188278"", ""188278"", ""188278"", ""188278"", ""188278"", 188278, 188278, 188278, 188278, 188278, ""188227"", ""188227"", 188227, 188227, ""188114"", 188114, ""188260"", 188260, ""188287"", ""188287"", 188287, 188287, ""188278"", ""188278"", ""188278"", ""188278"", ""188278"", ""188278"", 188278, 188278, 188278, 188278, 188278, 188278]"
"""alexr00""","""VSCodeTriageBot""",10,"[""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""188157"", ""188157"", ""188157"", ""188157"", ""188157"", ""188157"", 188157, 188157, 188157, 188157, 188157, 188157, ""188270"", ""188270"", ""188270"", 188270, 188270, 188270, ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", ""155883"", 155883, 155883, 155883, 155883, 155883, 155883, 155883, ""188118"", ""188118"", ""188118"", 188118, 188118, 188118, ""188134"", ""188134"", 188134, 188134]"
"""VSCodeTriageBot""","""connor4312""",10,"[""188195"", 188195, ""188195"", ""188195"", 188195, 188195, ""188281"", 188281, ""188180"", 188180, ""188123"", 188123, ""188123"", 188123, ""188180"", 188180, ""188123"", 188123, ""188180"", 188180, ""188281"", ""188281"", 188281, 188281, ""188123"", 188123, ""188123"", 188123, ""188180"", 188180, ""155883"", ""155883"", 155883, 155883, ""188180"", 188180, ""188123"", 188123, ""188180"", 188180, ""188123"", 188123]"
"""VSCodeTriageBot""","""deepak1556""",10,"[""188250"", 188250, ""188260"", 188260, ""188253"", 188253, ""188206"", 188206, ""188221"", 188221, ""188260"", 188260, ""188221"", 188221, ""188221"", 188221, ""188206"", 188206, ""188250"", 188250, ""188253"", ""188253"", 188253, 188253, ""188260"", 188260, ""188250"", 188250, ""188250"", 188250, ""188253"", 188253, ""188206"", 188206, ""188253"", ""188253"", 188253, 188253]"
"""chrmarti""","""VSCodeTriageBot""",8,"[""188175"", 188175, ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", ""188130"", 188130, 188130, 188130, 188130, 188130, 188130, 188130, 188130, ""188152"", 188152, ""188172"", 188172]"
"""VSCodeTriageBot""","""rzhao271""",8,"[""188134"", 188134, ""188286"", 188286, ""188134"", 188134, ""188134"", 188134, ""188190"", ""188190"", 188190, 188190, ""188190"", ""188190"", 188190, 188190, ""188176"", ""188176"", 188176, 188176, ""188176"", ""188176"", 188176, 188176]"
"""sandy081""","""isidorn""",8,"[""188140"", ""188140"", ""188140"", ""188140"", 188140, 188140, 188140, 188140, ""188139"", ""188139"", ""188139"", 188139, 188139, 188139, ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", 188138, 188138, 188138, 188138, 188138, 188138, ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", 188138, 188138, 188138, 188138, 188138, 188138, ""188141"", ""188141"", 188141, 188141, ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", ""188138"", 188138, 188138, 188138, 188138, 188138, 188138]"
"""meganrogge""","""Tyriar""",8,"[""152381"", ""152381"", 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", ""152381"", 152381, 152381, 152381, ""152381"", ""152381"", 152381, 152381, ""188145"", ""188145"", 188145, 188145, ""188312"", 188312, ""188235"", 188235, ""188312"", 188312, ""152381"", ""152381"", 152381, 152381]"
"""github-actions[bot]""","""mjbvz""",6,"[""152231"", 152231, ""181489"", 181489, ""152112"", 152112, ""152231"", 152231, ""152231"", 152231, ""152231"", 152231, ""152112"", 152112, ""152112"", 152112, ""152231"", 152231, ""152112"", 152112, ""152231"", 152231, ""181489"", 181489, ""152112"", 152112, ""152231"", 152231, ""181489"", 181489, ""181489"", 181489, ""152112"", 152112, ""152112"", 152112, ""181489"", 181489]"
"""daviddossett""","""mjbvz""",6,"[""188282"", 188282, ""188117"", ""188117"", 188117, 188117, ""188143"", 188143, ""188143"", 188143, ""188143"", ""188143"", 188143, 188143, ""188143"", ""188143"", 188143, 188143, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188117"", ""188117"", 188117, 188117, ""188282"", 188282, ""188143"", ""188143"", 188143, 188143]"
"""TylerLeonhardt""","""VSCodeTriageBot""",6,"[""188169"", 188169, ""188126"", ""188126"", ""188126"", ""188126"", ""188126"", ""188126"", ""188126"", 188126, 188126, 188126, 188126, 188126, 188126, 188126, ""181447"", ""181447"", ""181447"", ""181447"", ""181447"", ""181447"", 181447, 181447, 181447, 181447, 181447, 181447, ""188169"", 188169]"
"""github-actions[bot]""","""VSCodeTriageBot""",6,"[""155883"", 155883, ""181489"", 181489, ""181447"", 181447, ""181489"", 181489, ""155883"", 155883]"
"""joyceerhl""","""VSCodeTriageBot""",6,"[""188242"", 188242, ""188215"", ""188215"", ""188215"", ""188215"", ""188215"", ""188215"", ""188215"", 188215, 188215, 188215, 188215, 188215, 188215, 188215, ""188242"", 188242, ""188166"", ""188166"", ""188166"", ""188166"", ""188166"", ""188166"", 188166, 188166, 188166, 188166, 188166, 188166]"
