IssueID,EventCount,EventSequence
"""188181""",11,"[""merged"", ""auto_merge_enabled"", ""automatic_base_change_succeeded"", ""assigned"", ""review_dismissed"", ""referenced"", ""milestoned"", ""review_requested"", ""head_ref_deleted"", ""head_ref_force_pushed"", ""closed""]"
188181,11,"[""review_dismissed"", ""assigned"", ""referenced"", ""closed"", ""automatic_base_change_succeeded"", ""auto_merge_enabled"", ""milestoned"", ""merged"", ""head_ref_deleted"", ""head_ref_force_pushed"", ""review_requested""]"
188117,10,"[""mentioned"", ""head_ref_deleted"", ""subscribed"", ""referenced"", ""assigned"", ""review_requested"", ""unassigned"", ""auto_squash_enabled"", ""closed"", ""merged""]"
"""188117""",10,"[""assigned"", ""mentioned"", ""head_ref_deleted"", ""merged"", ""unassigned"", ""review_requested"", ""closed"", ""referenced"", ""subscribed"", ""auto_squash_enabled""]"
188272,10,"[""milestoned"", ""assigned"", ""auto_squash_enabled"", ""merged"", ""head_ref_deleted"", ""closed"", ""review_dismissed"", ""head_ref_force_pushed"", ""referenced"", ""ready_for_review""]"
"""188272""",10,"[""head_ref_deleted"", ""closed"", ""milestoned"", ""referenced"", ""assigned"", ""auto_squash_enabled"", ""review_dismissed"", ""ready_for_review"", ""merged"", ""head_ref_force_pushed""]"
188294,10,"[""head_ref_deleted"", ""merged"", ""subscribed"", ""review_requested"", ""assigned"", ""auto_merge_enabled"", ""mentioned"", ""milestoned"", ""referenced"", ""closed""]"
"""188294""",10,"[""review_requested"", ""milestoned"", ""assigned"", ""referenced"", ""head_ref_deleted"", ""merged"", ""closed"", ""mentioned"", ""auto_merge_enabled"", ""subscribed""]"
188130,9,"[""ready_for_review"", ""merged"", ""closed"", ""head_ref_deleted"", ""assigned"", ""auto_squash_enabled"", ""referenced"", ""milestoned"", ""head_ref_force_pushed""]"
"""188130""",9,"[""assigned"", ""milestoned"", ""referenced"", ""head_ref_deleted"", ""auto_squash_enabled"", ""closed"", ""ready_for_review"", ""merged"", ""head_ref_force_pushed""]"
188123,8,"[""merged"", ""head_ref_deleted"", ""review_dismissed"", ""milestoned"", ""closed"", ""referenced"", ""assigned"", ""auto_squash_enabled""]"
"""188123""",8,"[""merged"", ""milestoned"", ""assigned"", ""review_dismissed"", ""closed"", ""auto_squash_enabled"", ""referenced"", ""head_ref_deleted""]"
188126,8,"[""assigned"", ""review_requested"", ""ready_for_review"", ""head_ref_deleted"", ""milestoned"", ""merged"", ""referenced"", ""closed""]"
"""188126""",8,"[""merged"", ""ready_for_review"", ""closed"", ""review_requested"", ""referenced"", ""head_ref_deleted"", ""milestoned"", ""assigned""]"
188137,8,"[""labeled"", ""unassigned"", ""unlabeled"", ""mentioned"", ""reopened"", ""subscribed"", ""closed"", ""assigned""]"
"""188137""",8,"[""assigned"", ""closed"", ""mentioned"", ""unlabeled"", ""subscribed"", ""unassigned"", ""reopened"", ""labeled""]"
188138,8,"[""referenced"", ""mentioned"", ""milestoned"", ""labeled"", ""assigned"", ""subscribed"", ""unlabeled"", ""closed""]"
"""188138""",8,"[""subscribed"", ""assigned"", ""mentioned"", ""unlabeled"", ""labeled"", ""closed"", ""referenced"", ""milestoned""]"
188144,8,"[""referenced"", ""auto_merge_enabled"", ""merged"", ""mentioned"", ""subscribed"", ""assigned"", ""closed"", ""milestoned""]"
"""188144""",8,"[""closed"", ""auto_merge_enabled"", ""merged"", ""mentioned"", ""milestoned"", ""referenced"", ""assigned"", ""subscribed""]"
"""188165""",8,"[""head_ref_force_pushed"", ""merged"", ""closed"", ""head_ref_deleted"", ""auto_squash_enabled"", ""assigned"", ""milestoned"", ""referenced""]"
188165,8,"[""assigned"", ""auto_squash_enabled"", ""merged"", ""head_ref_deleted"", ""head_ref_force_pushed"", ""closed"", ""milestoned"", ""referenced""]"
"""188191""",8,"[""assigned"", ""auto_squash_enabled"", ""referenced"", ""head_ref_deleted"", ""merged"", ""review_requested"", ""closed"", ""milestoned""]"
188191,8,"[""closed"", ""review_requested"", ""milestoned"", ""assigned"", ""head_ref_deleted"", ""referenced"", ""merged"", ""auto_squash_enabled""]"
"""188215""",8,"[""assigned"", ""milestoned"", ""closed"", ""merged"", ""review_requested"", ""referenced"", ""head_ref_deleted"", ""auto_squash_enabled""]"
188215,8,"[""referenced"", ""auto_squash_enabled"", ""closed"", ""head_ref_deleted"", ""merged"", ""milestoned"", ""review_requested"", ""assigned""]"
188112,7,"[""merged"", ""referenced"", ""assigned"", ""auto_merge_enabled"", ""head_ref_deleted"", ""milestoned"", ""closed""]"
"""188112""",7,"[""head_ref_deleted"", ""merged"", ""auto_merge_enabled"", ""milestoned"", ""referenced"", ""assigned"", ""closed""]"
188113,7,"[""closed"", ""referenced"", ""auto_squash_enabled"", ""head_ref_deleted"", ""assigned"", ""milestoned"", ""merged""]"
"""188113""",7,"[""assigned"", ""milestoned"", ""closed"", ""auto_squash_enabled"", ""head_ref_deleted"", ""referenced"", ""merged""]"
188115,7,"[""head_ref_deleted"", ""assigned"", ""milestoned"", ""auto_squash_enabled"", ""merged"", ""referenced"", ""closed""]"
"""188115""",7,"[""merged"", ""milestoned"", ""auto_squash_enabled"", ""referenced"", ""closed"", ""assigned"", ""head_ref_deleted""]"
188127,7,"[""assigned"", ""mentioned"", ""milestoned"", ""subscribed"", ""labeled"", ""unassigned"", ""unlabeled""]"
"""188127""",7,"[""milestoned"", ""unassigned"", ""mentioned"", ""unlabeled"", ""subscribed"", ""assigned"", ""labeled""]"
188132,7,"[""head_ref_deleted"", ""assigned"", ""closed"", ""milestoned"", ""merged"", ""auto_squash_enabled"", ""referenced""]"
"""188132""",7,"[""head_ref_deleted"", ""milestoned"", ""closed"", ""referenced"", ""auto_squash_enabled"", ""merged"", ""assigned""]"
188135,7,"[""referenced"", ""head_ref_deleted"", ""milestoned"", ""auto_squash_enabled"", ""closed"", ""assigned"", ""merged""]"
